The,double,sorwe,of,Troilus,to,"tellen,",,,
u,S,u,S,u,Su,S,u,S,

To,folwen,him,that,so,wel,can,yow,lede.,
u,Su,S,u,S,u,S,u,S,

But,for,to,tellen,forth,in,special,,,
u,S,u,Su,S,u,SuS,,,

As,of,this,kinges,sone,of,which,I,"tolde,",
u,S,u,Su,S,u,S,u,S,

And,leten,other,thinges,"collateral,",,,,,
u,Su,Su,S,uSuS,,,,,

Of,him,thenke,I,my,tale,forth,to,"holde,",
u,S,u,S,u,Su,S,u,S,

Bothe,of,his,"joye,",and,of,his,cares,colde;,
u,S,u,S,u,S,u,S u,S,

And,al,his,"werk,",as,touching,this,"matere,",,
u,S,u,S,u,Su,S,uS,,

For,I,it,"gan,",I,wil,therto,refere.,,
u,S,u,S,u,S,uS,uS,,

Within,the,temple,he,wente,him,forth,"pleyinge,",,
Su,S,u,S,u,S,u,S,,

This,"Troilus,",of,every,wight,"aboute,",,,,
u,SuS,u,Su,S,uS,,,,

On,this,lady,and,now,on,that,"lokinge,",,
u,S,uS,u,S,u,S,uS,,

Wherso,she,were,of,"toune,",or,withoute:,,,
u S,u,S,u,S,u,S u,,,

And,upon,cas,"bifel,",that,thorugh,a,route,,
u,Su,S,uS,u,S,u,S,,

His,eye,"perced,",and,so,depe,it,"wente,",,
u,S u,Su,S,u,S,u,S,,

Til,on,Criseyde,it,"smoot,",and,ther,it,stente.,
u,S,uS,u,S,u,S,u,S,

And,sodeinly,he,wex,therwith,"astoned,",,,,
u,SuS,u,S,uS,uS,,,,

And,gan,hire,bet,biholde,in,thrifty,wise:,,
u,S,u,S,uS,u,Su,S,,

“O,"mercy,",God!”,thoughte,"he,",“Wher,hastow,"woned,",,
u,Su,S,u,S,u,Su,S,,

That,art,so,fair,and,goodly,to,devise?”,,
u,S,u,S,u,Su,S,uS,,

Therwith,his,herte,gan,to,sprede,and,"rise,",,
uS,u,Su,S,u,S,u,S,,

And,softe,"sighed,",lest,men,mighte,him,"here,",,
u,Su,Su,S,u,S,u,S,,

And,caughte,ayein,his,firste,pleying,chere.,,,
u,S,u,S,uS,u,S,,,

She,nas,not,with,the,leste,of,hir,"stature,",
u,S,u,S,u,S,u,S,uS,

But,alle,hir,limes,so,wel,answeringe,,,
u,S,u,Su,S,u,SuS,,,

Weren,to,"womanhod,",that,creature,,,,,
u S,u,S u S,u,S u S,,,,,

Was,neuer,lasse,mannish,in,seminge.,,,,
u,Su,Su,Su,S,uS,,,,

And,eek,the,pure,wise,of,her,movinge,,
u,S,u,Su,S,u,S,uS,,

Shewede,"wel,",that,men,might,in,hir,gesse,,
uSu,S,u,S,u,S,u,S,,

"Honour,","estat,",and,wommanly,noblesse.,,,,,
uS,uS,u,SuS,uS,,,,,

To,Troilus,right,wonder,wel,withalle,,,,
u,SuS,u,Su,S,uS,,,,

Gan,for,to,like,hir,movinge,and,hir,"chere,",
u,S,u,S,u,Su,S,u,S,

Which,somdel,deinous,"was,",for,she,leet,falle,,
u,Su,Su,S,u,S,u,S,,

Hir,look,a,lite,"aside,",in,swich,"manere,",,
u,S,u,S,uS,u,S,uS,,

"Ascaunces,",“What!,may,I,not,stonden,here?”,,,
uSu,S,u,S,u,Su,S,,,

And,after,that,hir,loking,gan,she,"lighte,",,
u,Su,S,u,Su,S,u,S,,

That,never,thoughte,him,seen,so,good,a,sighte.,
u,Su,S,u,S,u,S,u,S,

And,of,hir,look,in,him,ther,gan,to,quiken
u,S,u,S,u,S,u,S,u,Su

So,greet,"desir,",and,swich,"affeccioun,",,,,
u,S,uS,u,S,uSuS,,,,

That,in,his,hertes,botme,gan,to,stiken,,
u,S,u,S,uS,u,S,uS,,

Of,hir,his,fixe,and,depe,impressioun:,,,
u,S,u,S,u,S,uSuS,,,

And,though,he,erst,had,poured,up,and,"doun,",
u,S,u,S,u,Su,S,u,S,

He,was,tho,glad,his,hornes,in,to,shrinke;,
u,S,u,S,u,Su,S,u,S,

Unnethes,wiste,he,how,to,loke,or,winke.,,
uSu,S,u,S,u,S,u,S,,

"Lo,",he,that,leet,himselven,so,"konninge,",,,
u,S,u,S,uSu,S,uS,,,

And,scorned,hem,that,loves,peines,"dryen,",,,
u,Su,S,u,Su,Su,S,,,

Was,ful,unwar,that,love,hadde,his,dwellinge,,
u,S,uS,u,S,u,S,uS,,

Withinne,the,subtile,stremes,of,hir,yän;,,,
uS,u,Su,Su,S,u,S,,,

That,sodeinly,him,thoughte,he,felte,"dyen,",,,
u,SuS,u,S,u,Su,S,,,

Right,with,hir,"look,",the,spirit,in,his,herte;,
u,S,u,S,u,Su,S,u,S,

Blessed,be,"love,",that,thus,can,folk,converte!,,
uS,u,Su,S,u,S,u,S,,

"She,",this,in,"blak,",liking,to,Troilus,,,
u,S,u,S,uS,u,SuS,,,

Over,alle,thing,he,stood,for,to,biholde;,,
u,S u,S,u,S,u,S,u S,,

Ne,his,"desir,",ne,wherfor,he,stood,"thus,",,
u,S,uS,u,Su,S,u,S,,

He,neither,chere,"made,",ne,worde,tolde;,,,
u,Su,S u,S,u,Su,S,,,

But,from,"afer,",his,maner,for,to,"holde,",,
u,S,uS,u,Su,S,u,S,,

On,other,thing,his,look,somtime,he,"caste,",,
u,Su,S,u,S,uS,u,S,,

And,ofte,on,"hir,",whil,that,servise,laste.,,
u,S,u,S,u,S,uSu,S,,

And,after,"this,",not,fulliche,al,"awhaped,",,,
u,Su,S,u,Su,S,uS,,,

Out,of,the,temple,al,esiliche,he,"wente,",,
u,S,u,S,u,SuS,u,S,,

Repentinge,him,that,he,hadde,ever,yjaped,,,
uSu,S,u,S,u,S,u S,,,

Of,loves,"folk,",lest,fully,the,descente,,,
u,Su,S,u,Su,S,uS,,,

Of,scorn,fille,on,himself;,"but,",what,he,"mente,",
u,S,u,S,uS,u,S,u,S,

Lest,it,were,wist,on,any,maner,"side,",,
u,S,u,S,u,Su,Su,S,,

His,wo,he,gan,dissimulen,and,hide.,,,
u,S,u,S,uSuS,u,S,,,

Whan,he,was,fro,the,temple,thus,"departed,",,
u,S,u,S,u,Su,S,uS,,

He,streight,anoon,unto,his,paleis,"torneth,",,,
u,S,uS,uS,u,Su,Su,,,

Right,with,hir,look,thurgh,shoten,and,thurgh,"darted,",
u,S,u,S,u,Su,S,u,S,

Al,feineth,he,in,lust,that,he,sojorneth;,,
u,Su,S,u,S,u,S,uSu,,

And,al,his,chere,and,speche,also,he,borneth;,
u,S,u,S,u,S,uS,u,Su,

And,"ay,",of,loves,servants,every,"while,",,,
u,S,u,Su,Su,Su,S,,,

Himself,to,"wrie,",at,hem,he,gan,to,smile.,
uS,u,S,u,S,u,S,u,S,

And,"seide,","“Lord,",so,ye,live,al,in,"lest,",
u,Su,S,u,S,u,S,u,S,

Ye,loveres!,for,the,conningest,of,"yow,",,,
u,Su,S,u,SuS,u,S,,,

That,serveth,most,ententiflich,and,"best,",,,,
u,Su,S,uSuS,u,S,,,,

Him,tit,as,often,harm,therof,as,prow;,,
u,S,u,Su,S,uS,u,S,,

Your,hire,is,quit,"ayein,","ye,",God,wot,how!,
S,u,S,u,S,u,S,u,S,

Nought,wel,for,"wel,",but,scorn,for,good,servise;,
u,S,u,S,u,S,u,S,uS,

In,"feith,",your,ordre,is,ruled,in,good,wise!,
u,S,u,S,u,Su,S,u,S,

“In,nouncertein,ben,al,your,"observaunces,",,,,
u,SuS,u,S,u,SuS,,,,

But,it,a,sely,fewe,pointes,be;,,,
u,S,u,Su,Su,Su,S,,,

Ne,nothing,asketh,so,grete,attendaunces,,,,
u,Su,Su,S,u,SuS,,,,

As,doth,your,"lay,",and,that,knowe,alle,ye;,
u,S,u,S,u,S,u,Su,S,

But,that,is,not,the,"worste,",as,mote,I,thee;
u,S,u,S,u,S,u,S,u,S

"But,",tolde,I,yow,the,worste,"point,",I,"leve,",
u,S,u,S,u,Su,S,u,S,

Al,seide,I,"sooth,",ye,wolden,at,me,greve!,
u,S,u,S,u,Su,S,u,S,

“But,tak,"this,",that,ye,loveres,ofte,"eschuwe,",,
u,S,u,S,u,S u,S,u S,,

Or,elles,doon,of,good,"entencioun,",,,,
u,Su,S,u,S,uSuS,,,,

Ful,oft,thy,lady,wole,it,"misconstrue,",,,
u,S,u,Su,S,u,SuS,,,

And,deme,it,harm,in,hir,opinioun;,,,
u,S,u,S,u,S,uSuS,,,

And,yet,if,"she,",for,other,"enchesoun,",,,
u,S,u,S,u,Su,SuS,,,

Be,"wrooth,",than,shalt,thou,han,a,groin,anoon:,
u,S,u,S,u,S,u,S,uS,

Lord!,wel,is,him,that,may,be,of,yow,oon!”
u,S,u,S,u,S,u,S,u,S

But,for,al,"this,",whan,that,he,say,his,"time,"
u,S,u,S,u,S,u,S,u,S

He,held,his,"pees,",non,other,bote,him,gained;,
u,S,u,S,u,Su,S,u,S,

For,love,bigan,his,fetheres,so,to,"lime,",,
u,S,uS,u,Su,S,u,S,,

That,wel,unnethe,unto,his,folk,he,feined,,
u,S,uS,uS,u,S,u,S,,

That,othere,besie,nedes,him,destrained;,,,,
u,Su,Su,Su,S,uS,,,,

For,wo,was,"him,",that,what,to,doon,he,"niste,"
u,S,u,S,u,S,u,S,u,S

But,bad,his,folk,to,goon,wher,that,hem,liste.
u,S,u,S,u,S,u,S,u,S

And,whan,that,he,in,chaumbre,was,"allone,",,
u,S,u,S,u,Su,S,uS,,

He,doun,upon,his,beddes,feet,him,"sette,",,
u,S,uS,u,Su,S,u,S,,

And,first,he,gan,to,"sike,",and,eft,to,"grone,"
u,S,u,S,u,S,u,S,u,S

And,thoughte,ay,on,hir,"so,",withouten,"lette,",,
u,S,u,S,u,S,uSu,S,,

"That,",as,he,sat,and,"wook,",his,spirit,mette,
u,S,u,S,u,S,u,Su,S,

That,he,hir,saw,"atemple,",and,al,the,wise,
u,S,u,S,uS,u,S,u,S,

Right,of,hir,"loke,",and,gan,it,newe,avise.,
u,S,u,S,u,S,u,S,uS,

Thus,gan,he,make,a,mirour,of,his,"minde,",
u,S,u,S,u,Su,S,u,S,

In,which,he,saugh,al,hoolly,hir,figure;,,
u,S,u,S,u,Su,S,uS,,

And,that,he,wel,coude,in,his,herte,"finde,",
u,S,u,S,u,S,u,Su,S,

It,was,to,him,a,right,good,aventure,,
u,S,u,S,u,S,u,SuS,,

To,love,swich,"oon,",and,if,he,dide,his,cure
u,S,u,S,u,S,u,S,u,S

To,serven,"hir,",yet,mighte,he,falle,in,"grace,",
u,Su,S,u,S,u,S,u,S,

Or,"elles,",for,oon,of,hir,servaunts,pace.,,
u,Su,S,u,S,u,Su,S,,

Imagining,that,travaille,nor,grame,,,,,
uSuS,u,SuS,u,S,,,,,

Ne,"mighte,",for,so,goodly,"oon,",be,lorn,,
u,Su,S,u,Su,S,u,S,,

As,"she,",ne,him,for,his,desir,ne,"shame,",
u,S,u,S,u,S,uS,u,S,

Al,were,it,"wist,",but,in,pris,and,upborn,
u,S,u,S,u,S,u,S,uS,

Of,alle,lovers,wel,more,than,biforn;,,,
u,S u,S u,S,u,S,u S,,,

Thus,argumented,he,in,his,"ginninge,",,,,
u,SuSu,S,u,S,uS,,,,

Ful,unavised,of,his,wo,cominge.,,,,
u,SuSu,S,u,S,uS,,,,

Thus,took,he,purpos,loves,craft,to,"suwe,",,
u,S,u,Su,Su,S,u,S,,

And,thoughte,he,wolde,werken,"prively,",,,,
u,S,u,Su,Su,SuS,,,,

"First,",to,hiden,his,desir,in,muwe,,,
S,u,Su,S,uS,u,S,,,

From,every,wight,"yborn,",al,"outrely,",,,,
u,Su,S,uS,u,SuS,,,,

But,he,mighte,ought,recovered,be,therby;,,,
u,S,u,S,uSu,S,uS,,,

Remembring,"him,",that,love,to,wide,yblowe,,,
uSu,S,u,S,u,S,u S,,,

Yelt,bittre,"fruit,",though,swete,seed,be,sowe.,,
u,Su,S,u,Su,S,u,S,,

And,over,al,"this,",yet,muchel,more,he,thoughte,
u,S,u,S,u,S u,S,u,S,

What,for,to,"speke,",and,what,to,holden,"inne,",
u,S,u,S,u,S,u,Su,S,

And,what,to,arten,hir,to,love,he,"soughte,",
u,S,u,Su,S,u,S,u,S,

And,on,a,song,anoonright,to,"biginne,",,,
u,S,u,S,uSu,S,uS,,,

And,gan,loude,on,his,sorwe,for,to,winne;,
u,S,u,S,u,Su,S,u,S,

For,with,good,hope,he,gan,fully,assente,,
u,S,u,S,u,S,uS,uS,,

Criseyde,for,to,"love,",and,nought,repente.,,,
uSu,S,u,S,u,S,uS,,,

And,of,his,song,nought,only,the,"sentence,",,
u,S,u,S,u,Su,S,uS,,

As,writ,min,autour,called,"Lollius,",,,,
u,S,u,S u,S u,S u S,,,,

But,"pleinly,",save,our,tonges,"difference,",,,,
u,Su,S,u,Su,SuS,,,,

I,dar,wel,"sayn,",in,"al,",that,Troilus,,
u,S,u,S,u,S,u,SuS,,

Seide,in,his,song;,lo!,every,word,right,thus,
u,S,u,S,u,Su,S,u,S,

As,I,shal,seyn;,and,whoso,list,it,"here,",
u,S,u,S,u,Su,S,u,S,

Lo!,next,this,"vers,",he,may,it,finden,here.,
u,S,u,S,u,S,u,Su,S,

“If,no,love,"is,",O,"God,",what,fele,I,so?
u,S,u,S,u,S,u,S,u,S

And,if,love,"is,",what,thing,and,whiche,is,he?
u,S,u,S,u,S,u,S,u,S

If,love,be,"good,",from,whennes,comth,my,wo?,
u,S,u,S,u,Su,S,u,S,

If,it,be,"wikke,",a,wonder,thinketh,"me,",,
u,S,u,S,u,Su,Su,S,,

Whenne,every,torment,and,adversitee,,,,,
u,Su,Su,S,uSuS,,,,,

That,cometh,of,"him,",may,to,me,savory,thinke;,
u,S,u,S,u,S,u,S u,S,

For,ay,thurst,"I,",the,more,that,I,it,drinke.
u,S,u,S,u,S,u,S,u,S

“And,if,that,at,min,owene,lust,I,"brenne,",
u,S,u,S,u,Su,S,u,S,

Fro,whennes,cometh,my,wailing,and,my,pleinte?,,
u,S,uS,u,Su,S,u,S,,

If,harme,agree,"me,",wherto,pleine,I,thenne?,,
u,S,uS,u,Su,S,u,S,,

I,"noot,",ne,why,unwery,that,I,feinte.,,
u,S,u,S,uSu,S,u,S,,

O,quike,"deeth,",O,swete,harm,so,"queinte,",,
u,Su,S,u,S u,S,u,S,,

How,may,of,thee,in,me,swich,"quantitee,",,
u,S,u,S,u,S,u,SuS,,

But,if,that,I,consente,that,it,be?,,
u,S,u,S,uSu,S,u,S,,

“And,if,that,I,"consente,",I,wrongfully,,,
u,S,u,S,uS,u,SuS,,,

"Compleine,",ywis;,thus,possed,to,and,"fro,",,,
uS,uS,u,Su,S,u,S,,,

Al,sterelees,withinne,a,boot,am,I,,,
u,SuS,uS,u,S,u,S,,,

Amid,the,"see,",bitwixen,windes,"two,",,,,
uS,u,S,uSu,Su,S,,,,

That,in,contrarie,stonden,evermo.,,,,,
u,S,uSu,Su,SuS,,,,,

Allas!,what,is,this,wonder,maladie?,,,,
uS,u,S,u,Su,SuS,,,,

For,hete,of,"cold,",for,cold,of,"hete,",I,deie.”
u,S,u,S,u,S,u,S,u,S

And,to,the,god,of,love,thus,seide,he,
u,S,u,S,u,S,u,S u,S,

With,pitous,"vois,",“O,"lord,",now,youres,is,,
u,Su,S,u,S,u,Su,S,,

My,"spirit,",which,that,oughte,youres,be.,,,
u,Su,S,u,Su,Su,S,,,

Yow,thanke,"I,","lord,",that,han,me,brought,to,this;
u,S,u,S,u,S,u,S,u,S

But,whether,goddesse,or,"womman,","ywis,",,,,
u,Su,Su,S,uS,uS,,,,

She,"be,",I,"noot,",which,that,ye,do,me,serve;
u,S,u,S,u,S,u,S,u,S

But,as,hir,man,I,wole,ay,live,and,sterve.
u,S,u,S,u,S,u,S,u,S

“Ye,stonden,in,hire,eyen,"mightily,",,,,
S,uS,u,S,u,SuS,,,,

As,in,a,place,unto,your,vertu,digne;,,
u,S,u,S,uS,u,Su,S,,

"Wherfore,","lord,",if,my,servise,or,I,,,
uSu,S,u,S,uS,u,S,,,

May,like,"yow,",so,beth,to,me,benigne;,,
u,Su,S,u,S,u,S,uS,,

For,min,estat,royal,here,I,resigne,,,
u,S,uS,uS,u,S,uS,,,

Into,hir,"hond,",and,with,ful,humble,chere,,
uS,u,S,u,S,u,Su,S,,

Bicome,hir,"man,",as,to,my,lady,dere.”,,
uS,u,S,u,S,u,Su,S,,

In,him,ne,deined,sparen,blood,royal,,,
u,S,u,Su,Su,S,uS,,,

The,fir,of,"love,",wherfro,God,me,"blesse,",,
u,S,u,Su,Su,S,u,S,,

Ne,him,forbar,in,no,"degree,",for,al,,
u,S,uS,u,S,uS,u,S,,

His,vertu,or,his,excellent,prowesse;,,,,
u,Su,S,u,SuS,uS,,,,

But,held,him,as,his,thral,lowe,in,"distresse,",
u,S,u,S,u,S,u,S,uS,

And,brende,him,so,in,sondry,wise,ay,"newe,",
u,S,u,S,u,Su,S,u,S,

That,sixty,time,a,day,he,loste,his,hewe.,
u,Su,S,u,S,u,S,u,S,

So,"muche,",day,by,"day,",his,owene,"thought,",,
u,S,u,S,u,S,uSu,S,,

For,lust,to,"hir,",gan,quiken,and,"encrese,",,
u,S,u,S,u,Su,S,uS,,

That,every,other,charge,he,sette,at,nought;,,
u,Su,Su,S,u,S,u,S,,

Forthy,ful,"ofte,",his,hote,fir,to,"cese,",,
uS,u,S,u,Su,S,u,S,,

To,seen,hir,goodly,look,he,gan,to,prese;,
u,S,u,Su,S,u,S,u,S,

For,therby,to,ben,esed,wel,he,"wende,",,
u,Su,S,u,Su,S,u,S,,

And,ay,the,ner,he,"was,",the,more,he,brende.
u,S,u,S,u,S,u,S,u,S

For,ay,the,ner,the,"fir,",the,hotter,"is,",
u,S,u,S,u,S,u,Su,S,

"This,",trowe,"I,",knoweth,al,this,companie.,,,
u,S,u,Su,S,u,SuS,,,

But,were,he,fer,or,"neer,",I,dar,seye,"this,"
u,S,u,S,u,S,u,S,u,S

By,night,or,"day,",for,wisdom,or,"folie,",,
u,S,u,S,u,Su,S,uS,,

His,"herte,",which,that,is,his,brestes,"ye,",,
u,Su,S,u,S,u,Su,S,,

Was,ay,on,"hir,",that,fairer,was,to,sene,
u,S,u,S,u,Su,S,u,S,

Than,ever,was,Eleine,or,Polixene.,,,,
u,Su,S,uS,u,SuS,,,,

Eek,of,the,day,ther,passed,nought,an,houre,
u,S,u,S,u,Su,S,u,S,

That,to,himself,a,thousand,time,he,"seide,",,
u,S,uS,u,Su,S,u,S,,

“Good,"goodly,",to,whom,serve,I,and,"laboure,",,
u,Su,S,u,S,u,S,uS,,

As,I,best,"can,",now,wolde,"God,","Criseyde,",,
u,S,u,S,u,Su,S,uS,,

Ye,wolden,on,me,rewe,er,that,I,deide!,
u,Su,S,u,S,u,S,u,S,

My,dere,"herte,",allas!,min,hele,and,hewe,,
S,u,S,uS,u,S,u,S,,

And,lif,is,"lost,",but,ye,wole,on,me,rewe.”
u,S,u,S,u,S,u,S,u,S

Alle,othere,dredes,weren,from,him,"fledde,",,,
u,Su,Su,Su,S,u,S,,,

Bothe,of,the,assege,and,his,savacioun;,,,
u,S,u,S,u,S,u S u S,,,

Ne,in,him,desir,noon,othere,fownes,bredde,,
x,u,S,u S,u,S u,S u,S,,

But,arguments,to,this,"conclusioun,",,,,,
u,SuS,u,S,uSuS,,,,,

That,she,on,him,wolde,han,"compassioun,",,,
u,S,u,S,u,S,uSuS,,,

And,he,to,be,hir,"man,",whil,he,may,dure;
u,S,u,S,u,S,u,S,u,S

"Lo,",here,his,"lif,",and,from,the,deeth,his,cure!
u,S,u,S,u,S,u,S,u,S

The,sharpe,shoures,felle,of,armes,"preve,",,,
u,Su,Su,S,u,Su,S,,,

That,Ector,or,his,othere,bretheren,"diden,",,,
u,Su,S,u,Su,SuS,uS,,,

Ne,made,him,only,therfore,ones,meve;,,,
u,S,u,Su,Su,Su,S,,,

And,yet,was,"he,",wherso,men,wente,or,"riden,",
u,S,u,S,uS,u,S,u,Su,

Founde,oon,the,"best,",and,lengest,time,abiden,,
u,S,u,S,u,Su,S,uSu,,

Ther,peril,"was,",and,dide,eek,such,travaile,,
u,Su,S,u,S,u,S,uS,,

In,"armes,",that,to,thenke,it,was,mervaile.,,
u,Su,S,u,S,u,S,uS,,

But,for,non,hate,he,to,the,Grekes,"hadde,",
u,S,u,S,u,S,u,Su,S,

Ne,also,for,the,rescous,of,the,"toun,",,
u,Su,S,u,Su,S,u,S,,

Ne,made,him,thus,in,armes,for,to,"madde,",
u,S,u,S,u,Su,S,u,S,

But,"only,","lo,",for,this,"conclusioun,",,,,
u,Su,S,u,S,uSuS,,,,

To,liken,hir,the,bet,for,his,renoun;,,
u,Su,S,u,S,u,S,uS,,

Fro,day,to,day,in,armes,so,he,"spedde,",
u,S,u,S,u,Su,S,u,S,

That,al,the,Grekes,as,the,deeth,him,dredde.,
u,S,u,Su,S,u,S,u,S,

And,fro,this,forth,tho,refte,him,love,his,"sleep,"
u,S,u,S,u,S,u,S,u,S

And,made,his,mete,his,foo;,and,eek,his,sorwe
u,S,u,S,u,S,u,S,u,S

Gan,"multiplie,","that,",whoso,toke,"keep,",,,,
u,SuS,u,Su,Su,S,,,,

It,shewed,in,his,"hewe,",bothe,eve,and,morwe;,
u,S u,S,u,S,u,S,u,S,

Therfor,a,title,he,gan,him,for,to,borwe,
uS,u,S,u,S,u,S,u,S,

Of,other,"siknesse,",lest,of,him,men,wende,,
u,Su,Su,S,u,S,u,S,,

That,the,hote,fir,of,love,him,brende.,,
S,u,Su,S,u,S,u,S,,

And,"seide,",he,hadde,a,fever,and,ferde,amis;,
u,S,u,S,u,S,u,S,u S,

But,how,it,"was,","certain,",can,I,not,"seye,",
u,S,u,S,uS,u,S,u,S,

If,that,his,lady,understood,not,"this,",,,
u,S,u,Su,SuS,u,S,,,

Or,feined,hir,she,"niste,",oon,of,the,tweie;,
u,Su,S,u,S,u,S,u,S,

But,wel,I,rede,"that,",by,no,maner,"weie,",
u,S,u,S,u,S,u,Su,S,

Ne,semed,it,as,that,she,of,him,"roughte,",
u,Su,S,u,S,u,S,u,S,

Nor,of,his,"peine,",or,whatsoever,he,thoughte.,,
u,S,u,S,u,SuS,u,S,,

But,than,fel,to,this,Troilus,such,"wo,",,
u,S,u,S,u,SuS,u,S,,

That,he,was,wel,neigh,wood;,for,ay,his,drede
u,S,u,S,u,S,u,S,u,S

Was,"this,",that,she,som,wight,had,loved,"so,",
u,S,u,S,u,S,u,Su,S,

That,never,of,him,she,wolde,have,taken,hede;,
u,S,u,S,u,S,u,S u,S,

For,which,him,thoughte,he,felte,his,herte,blede.,
u,S,u,S,u,S,u,Su,S,

Ne,of,his,wo,ne,dorste,he,not,biginne,
u,S,u,S,u,S,u,S,uS,

To,tellen,"it,",for,al,this,world,to,winne.,
u,Su,S,u,S,u,S,u,S,

But,whanne,he,hadde,a,space,fro,his,"care,",
u,S,u,S,u,Su,S,u,S,

Thus,to,himself,ful,ofte,he,gan,to,pleine;,
u,S,uS,u,S,u,S,u,S,

He,"saide,",“O,"fool,",now,art,thou,in,the,"snare,"
u,S,u,S,u,S,u,S,u,S

That,whilom,japedest,at,loves,peine;,,,,
u,Su,SuS,u,Su,S,,,,

Now,artow,"hent,",now,gnaw,thin,owene,cheine;,,
u,Su,S,u,S,u,Su,S,,

Thou,were,ay,wont,eche,lovere,reprehende,,,
u,S,u,S,u,S u,S u S,,,

Of,thing,fro,which,thou,canst,thee,nat,defende.,
u,S,u,S,u,S,u,S,uS,

“What,wol,now,every,lover,seyn,of,"thee,",,
u,S,u,Su,Su,S,u,S,,

If,this,be,"wist,",but,ever,in,thin,absence,
u,S,u,S,u,S,u,S,u S,

Laughen,in,"scorn,",and,"seyn,","‘Lo,",ther,gooth,"he,",
uS,u,S,u,S,u,S,u,S,

That,is,the,man,of,so,gret,"sapience,",,
u,S,u,S,u,S,u,SuS,,

That,held,us,loveres,leest,in,reverence!,,,
u,S,u,S u,S,u,S u S,,,

